省份,年份,区域,老龄化压力指数,资源保障指数,方向性错配指数,绝对错配指数,错配类型,65岁及以上人口占比,老年人口抚养比（%）,每千人床位数,每千人医师数,每千人护士数,基层床位占比,城乡卫技人员差,每千老年人床位数,每千老年人医师数,每千老年人护士数
广西,2017,西部,0.6092469628209353,0.5638307246875252,0.045416238133410114,0.045416238133410114,低压力—低保障,0.0974619289340101,14.33,4.914204198084369,1.6761565111065817,2.6837782759323416,0.26955295678858754,52.0,5042.178265742819,1719.8064202499836,2753.6683352014147
新疆,2017,西部,0.14944147315082054,0.6979481327926135,-0.5485066596417929,0.5485066596417929,低压力—高保障,0.0728352300841168,8.22,6.7571370967741915,2.057943548387097,2.8454032258064514,0.1975211395358552,83.0,9277.292168872717,2825.478200604838,3906.6303799964917
江苏,2017,东部,1.109466510146667,0.6292572960755686,0.4802092140710984,0.4802092140710984,高压力—高保障,0.139334341906203,19.19,5.57024813011991,2.152154814199216,2.812608334322688,0.1905443942862258,51.0,3997.756801312978,1544.597537660889,2018.6038099753453
江西,2017,中部,0.6036983468138128,0.5279259532107332,0.07577239360307964,0.07577239360307964,低压力—低保障,0.0975552236459398,14.21,5.18836178230991,1.5536023054755042,2.307891819995566,0.25294064867312976,74.0,5318.3843862018,1592.5362552742856,2365.7285932444474
河北,2017,东部,0.8589768379785488,0.5689711408606982,0.2900056971178506,0.2900056971178506,高压力—低保障,0.117997616209774,16.8,5.3318396544742885,2.023012552301255,2.137710892158186,0.20656345244484045,55.0,4518.5994647514235,1714.4520518997438,1811.6559985057688
河南,2017,中部,0.7544180714111679,0.5613502824122154,0.1930677889989525,0.1930677889989525,高压力—低保障,0.10843617492563801,15.88,5.687231661410112,1.68686539831112,2.457737307966223,0.21645873509386435,83.0,5244.773402704616,1555.6297512964816,2266.528960147902
浙江,2017,东部,0.8877653737146036,0.5835185836584803,0.3042467900561233,0.3042467900561233,高压力—低保障,0.124793335194211,16.56,5.081361426256078,2.513387358184765,3.0424149108589953,0.08229140086756828,61.0,4071.821158035526,2014.0397355942762,2437.962657319963
海南,2017,东部,0.36531122760838886,0.47824396492350607,-0.11293273731511722,0.11293273731511722,低压力—低保障,0.0819371727748691,11.38,4.3162551440329215,1.7765432098765432,2.919958847736626,0.17400009534251798,95.0,5267.761869075324,2168.1773360154616,3563.655846119461
湖北,2017,中部,0.8952449517116918,0.7202314165588608,0.17501353515283102,0.17501353515283102,高压力—高保障,0.12231944786788301,17.0,6.371697154471545,2.067581300813008,3.1213245257452584,0.2363198957959515,53.0,5209.063043967957,1690.3128135815314,2551.7810782767715
湖南,2017,中部,0.9186126521110117,0.7225338593388643,0.19607879277214746,0.19607879277214746,高压力—高保障,0.121718714141967,17.53,6.8194632896125436,1.998763756972712,2.601839288406453,0.2520256004952082,80.0,5602.641580372466,1642.1170491839468,2137.583613783325
甘肃,2017,西部,0.4726562405849728,0.572409294425718,-0.09975305384074518,0.09975305384074518,低压力—低保障,0.10326887661141802,10.96,5.813362410785091,1.799960348929421,2.3173671689135613,0.2059844624965044,49.0,5629.346034875267,1742.9843414510494,2244.0131479626643
福建,2017,东部,0.5398652580874286,0.4784519750477526,0.06141328303967597,0.06141328303967597,低压力—低保障,0.0952484404580863,13.23,4.4864698646986465,1.803763837638376,2.489766297662976,0.18368745716244,60.0,4710.281704478827,1893.7463216860915,2613.970670478944
西藏,2017,西部,0.41186216122695757,0.4311588888257416,-0.019296727598784036,0.019296727598784036,低压力—低保障,0.0579191991419378,15.14,4.6140401146131795,1.638968481375358,1.2779369627507158,0.22977085015214554,70.0,7966.339629983373,2829.7499027202944,2206.4133856875014
贵州,2017,西部,0.6285965751154907,0.5652944202002131,0.06330215491527758,0.06330215491527758,低压力—低保障,0.0994866945832771,14.47,6.126479095450961,1.5877465159084931,2.576124112542729,0.1982917721790635,120.0,6158.088899337874,1595.9385549586648,2589.415723714028
辽宁,2017,东北,1.086494050817986,0.7184212635017011,0.3680727873162848,0.3680727873162848,高压力—高保障,0.140760098974117,18.57,6.925069573283858,2.419364564007421,2.955589053803339,0.12692182754036216,81.0,4919.767479388633,1718.785779237264,2099.7349926180523
重庆,2017,西部,1.2021639723341648,0.6670735135549539,0.5350904587792109,0.5350904587792109,高压力—高保障,0.142795121758693,20.6,6.56412213740458,1.7562340966921117,2.698886768447837,0.2471217583439935,42.0,4596.8812215428325,1229.8978249830839,1890.0412949740949
陕西,2017,西部,0.690241123313099,0.644221828629864,0.04601929468323496,0.04601929468323496,低压力—高保障,0.11096717115864599,14.32,6.179943647540983,2.004328893442623,3.2526383196721316,0.16081901643421134,60.0,5569.163909482496,1806.235909697204,2931.171702144181
青海,2017,西部,0.3565318402195963,0.6772925579570832,-0.32076071773748693,0.32076071773748693,低压力—高保障,0.0789633529054464,11.56,6.539419795221843,2.251365187713311,2.8114334470989757,0.1513530440228595,179.0,8281.588299641206,2851.151964645141,3560.4281526209884
